"PT";"AFD";"BLOK";"IFTYPE";"IFSUBTYPE";"IFCODE";"IFDESC";"DIMENSI";"NILAI";"SATUAN";"BAIK";"SIAGA";"RUSAK";"WO_NO";"CREATED_DATE";"CREATED_BY";"MODIFIED_DATE";"MODIFIED_BY";"LAT";"LON";"TOPOGRAFI";"JENIS_TANAH";"ACTIVE"
"SA1";"OF";"007";"JL";"JLE";"JLEOF007";"Jalan Utama OF007";"PJG";"265";"MTR";"265";"0";"0";"WOWIF/SA1/202606/020082";"30-JUN-26 08.11.33.000000 AM";"0107042";"30-JUN-26 08.11.33.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"008";"JL";"JLA";"JLAOF008";"Jalan Transport Timur OF008";"PJG";"235";"MTR";"235";"0";"0";"";"12-JUN-26 08.44.00.000000 PM";"0107042";"12-JUN-26 08.44.00.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"008";"JL";"JLB";"JLBOF008";"Jalan Koleksi Utara OF008";"PJG";"1003";"MTR";"1003";"0";"0";"WOWIF/SA1/202506/020187";"10-JUL-25 09.53.58.000000 AM";"0107042";"10-JUL-25 09.53.58.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"009";"JL";"JLA";"JLAOF009";"Jalan Transport Timur OF009";"PJG";"224";"MTR";"224";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OF";"009";"JL";"JLB";"JLBOF009";"Jalan Koleksi Utara OF009";"PJG";"1159";"MTR";"1159";"0";"0";"WOWIF/SA1/202607/020100";"25-JUL-26 05.21.13.000000 AM";"0107042";"25-JUL-26 05.21.13.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"010";"JL";"JLA";"JLAOF010";"Jalan Transport Timur OF010";"PJG";"269";"MTR";"269";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OF";"010";"JL";"JLB";"JLBOF010";"Jalan Koleksi Utara OF010";"PJG";"1160";"MTR";"1120";"40";"0";"WOWIF/SA1/202608/020003";"03-AUG-26 07.48.37.000000 AM";"0107042";"03-AUG-26 07.48.37.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"010";"JL";"JLD";"JLDOF010";"Jalan Koleksi Selatan OF010";"PJG";"1161";"MTR";"1041";"120";"0";"";"20-FEB-25 10.21.01.000000 AM";"0107042";"20-FEB-25 10.21.01.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"011";"JL";"JLA";"JLAOF011";"Jalan Transport Timur OF011";"PJG";"252";"MTR";"252";"0";"0";"";"12-JUN-26 08.44.56.000000 PM";"0107042";"12-JUN-26 08.44.56.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"011";"JL";"JLB";"JLBOF011";"Jalan Koleksi Utara OF011";"PJG";"1011";"MTR";"1011";"0";"0";"WOGIF/SA1/202507/020234";"25-JUL-25 08.59.58.000000 AM";"0107042";"25-JUL-25 08.59.58.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"012";"JL";"JLC";"JLCOF012";"Jalan Transport Barat OF012";"PJG";"237";"MTR";"237";"0";"0";"";"09-SEP-24 10.00.27.000000 AM";"0107042";"09-SEP-24 10.00.27.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"012";"JL";"JLE";"JLEOF012a";"Jalan Utama OF012";"PJG";"1149";"MTR";"1029";"0";"0";"";"26-JUN-26 02.16.43.000000 PM";"0107042";"26-JUN-26 04.55.52.000000 PM";"0107042";"0";"0";"";"";"N"
"SA1";"OF";"012";"JL";"JLE";"JLEOF012b";"Jalan Utama OF012";"PJG";"234";"MTR";"234";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OF";"013";"JL";"JLB";"JLBOF013";"Jalan Koleksi Utara OF013";"PJG";"1151";"MTR";"1151";"0";"0";"";"10-JAN-24 08.50.24.000000 AM";"0107042";"10-JAN-24 08.50.24.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"013";"JL";"JLC";"JLCOF013";"Jalan Transport Barat OF013";"PJG";"250";"MTR";"250";"0";"0";"";"09-SEP-24 10.01.03.000000 AM";"0107042";"09-SEP-24 10.01.03.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"013";"JL";"JLE";"JLEOF013";"Jalan Utama OF013";"PJG";"247";"MTR";"247";"0";"0";"";"12-JUN-26 08.46.55.000000 PM";"0107042";"12-JUN-26 08.46.55.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"014";"JL";"JLA";"JLAOF014";"Jalan Transport Timur OF014";"PJG";"247";"MTR";"247";"0";"0";"WOWIF/SA1/202606/020058";"17-JUN-26 06.56.25.000000 AM";"0107042";"17-JUN-26 06.56.25.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"014";"JL";"JLB";"JLBOF014";"Jalan Koleksi Utara OF014";"PJG";"1002";"MTR";"1002";"0";"0";"WOWIF/SA1/202607/020094";"24-JUL-26 06.35.58.000000 AM";"0107042";"24-JUL-26 06.35.58.000000 AM";"0107042";"0";"0";"";"";"Y"
